code,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_true,support_pred
C9_Soft_Voluntary_certification,7,16,0,45,0.30434782608694333,0.9999999999998571,0.7377049180327747,0.4666666666662778,0.76470588235293,0.8688524590163159,7,23
C9_Economic_Penalty,8,7,14,39,0.5333333333332978,0.36363636363634716,0.8478260869565033,0.43243243243192697,0.6911764705882252,0.6057312252964252,22,15
C9_Economic_Subsidy,14,37,0,17,0.2745098039215632,0.9999999999999286,0.314814814814809,0.4307692307688795,0.4558823529411698,0.6574074074073688,14,51
C9_Economic_RandD_funding,15,42,0,11,0.2631578947368375,0.9999999999999333,0.20754716981131682,0.41666666666632524,0.382352941176465,0.603773584905625,15,57
I : C3 Objectives - benefits of plastics,9,27,0,32,0.24999999999999303,0.9999999999998889,0.542372881355923,0.3999999999996622,0.6029411764705794,0.7711864406779059,9,36
J : Mentioned,9,27,0,32,0.24999999999999303,0.9999999999998889,0.542372881355923,0.3999999999996622,0.6029411764705794,0.7711864406779059,9,36
N : Not mentioned,4,0,12,52,0.99999999999975,0.2499999999999844,0.9999999999999807,0.39999999999964,0.8235294117646939,0.6249999999999826,16,4
C9_Soft_Harmonization,15,46,1,6,0.24590163934425827,0.9374999999999415,0.11538461538461316,0.38961038961005023,0.30882352941176017,0.5264423076922773,16,61
C9_Regulatory_Mandatory_certification,4,11,4,49,0.2666666666666489,0.4999999999999375,0.816666666666653,0.3478260869560378,0.7794117647058709,0.6583333333332952,8,15
H : Not mentioned,9,0,36,23,0.9999999999998889,0.19999999999999554,0.9999999999999566,0.33333333333304316,0.47058823529411076,0.5999999999999761,45,9
C9_Economic_Trading_system,3,13,0,52,0.18749999999998831,0.9999999999996666,0.7999999999999877,0.31578947368391136,0.8088235294117528,0.8999999999998272,3,16
C9_Soft_Voluntary_labelling,2,12,1,53,0.14285714285713266,0.6666666666664445,0.8153846153846029,0.2352941176467405,0.8088235294117528,0.7410256410255237,3,14
