metric,macro_mean
precision,0.5230393217891868
recall,0.6645887445885355
specificity,0.5817207792206602
f1,0.5446659164417845
accuracy,0.7560606060605373
balanced_accuracy,0.6231547619045976
mcc,0.29353036251017567
