metric,macro_mean
precision,0.5237956950455556
recall,0.6871825396823108
specificity,0.5409265271764203
f1,0.5535132581838453
accuracy,0.7393939393938722
balanced_accuracy,0.6140545334293657
mcc,0.2679813108152565
