metric,macro_mean
precision,0.5081890331889161
recall,0.6865205627703356
specificity,0.5445039682538606
f1,0.5489671428211788
accuracy,0.7409090909090233
balanced_accuracy,0.615512265512098
mcc,0.2657293488852693
