metric,macro_mean
precision,0.49945887445877124
recall,0.6890205627703364
specificity,0.546403920153819
f1,0.5524471921835794
accuracy,0.7606060606059916
balanced_accuracy,0.6177122414620778
mcc,0.25745033072399237
