metric,macro_mean
precision,0.5143548581047221
recall,0.6627507215005025
specificity,0.5616167628666511
f1,0.5418109184126282
accuracy,0.746969696969629
balanced_accuracy,0.6121837421835767
mcc,0.2529250963826278
